"","Country","People_living_with_aids","Deaths","Year","Population"
"1","Afghanistan",7200,500,2018,36686788
"2","Albania",NA,NA,2018,2877019
"3","Algeria",16000,200,2018,41927008
"4","Angola",330000,14000,2018,31273538
"5","Argentina",140000,1700,2018,44413592
"6","Armenia",3500,200,2018,2836563
"7","Australia",28000,200,2018,24979228
"8","Austria",NA,NA,2018,8840518
"9","Azerbaijan",NA,NA,2018,10152524
"10","Bahamas",6000,200,2018,401911
"11","Bahrain",NA,NA,2018,1487346
"12","Bangladesh",14000,580,2018,163683952
"13","Barbados",3000,100,2018,279702
"14","Belarus",27000,500,2018,9695573
"15","Belgium",NA,NA,2018,11448598
"16","Belize",4900,200,2018,382076
"17","Benin",73000,2200,2018,11940688
"18","Bhutan",1300,100,2018,762104
"19","Bosnia and Herzegovina",500,100,2018,3400132
"20","Botswana",370000,4800,2018,2451411
"21","Brazil",900000,15000,2018,210166592
"22","Bulgaria",3500,100,2018,7117424
"23","Burkina Faso",96000,3300,2018,20392730
"24","Burundi",82000,1900,2018,11493476
"25","Cambodia",73000,1300,2018,16025242
"26","Cameroon",540000,18000,2018,25076752
"27","Canada",NA,NA,2018,37035260
"28","Central African Republic",110000,4800,2018,5094795
"29","Chad",120000,3100,2018,15604213
"30","Chile",71000,590,2018,18701452
"31","China",NA,NA,2018,1417069440
"32","Colombia",160000,NA,2018,49276968
"33","Comoros",200,100,2018,776322
"34","Congo",89000,4000,2018,5441061
"35","Costa Rica",15000,500,2018,5040738
"36","Croatia",1600,100,2018,4160488
"37","Cuba",31000,500,2018,11328243
"38","Cyprus",NA,NA,2018,1218834
"39","Czechia",4400,100,2018,10534598
"40","Denmark",6200,100,2018,5766689
"41","Djibouti",8800,500,2018,1057204
"42","Dominican Republic",70000,1200,2018,10765532
"43","Ecuador",44000,620,2018,17015672
"44","Egypt",22000,500,2018,103740768
"45","El Salvador",25000,700,2018,6276340
"46","Equatorial Guinea",62000,1800,2018,1502102
"47","Eritrea",18000,500,2018,3445380
"48","Estonia",7400,100,2018,1322146
"49","Eswatini",210000,2400,2018,1160430
"50","Ethiopia",690000,11000,2018,111129440
"51","Fiji",NA,NA,2018,919002
"52","Finland",4000,100,2018,5515465
"53","France",180000,500,2018,64277812
"54","Gabon",53000,1200,2018,2192013
"55","Gambia",26000,980,2018,2444916
"56","Georgia",9400,500,2018,3772323
"57","Germany",87000,500,2018,82896696
"58","Ghana",330000,14000,2018,30870648
"59","Greece",NA,NA,2018,10633275
"60","Guatemala",47000,2200,2018,16850176
"61","Guinea",120000,4300,2018,12554871
"62","Guinea-Bissau",44000,1800,2018,1924954
"63","Guyana",8200,200,2018,785518
"64","Haiti",160000,2700,2018,11012427
"65","Honduras",23000,780,2018,9792854
"66","Hungary",3700,100,2018,9776361
"67","Iceland",500,100,2018,352951
"68","India",NA,NA,2018,1369003264
"69","Indonesia",640000,38000,2018,267066848
"70","Ireland",7200,100,2018,4834506
"71","Israel",9000,100,2018,8456487
"72","Italy",130000,710,2018,59877432
"73","Jamaica",40000,1500,2018,2811842
"74","Japan",30000,NA,2018,126255872
"75","Jordan",500,100,2018,10459864
"76","Kazakhstan",26000,500,2018,18538100
"77","Kenya",1600000,25000,2018,49953300
"78","Kuwait",640,100,2018,4317190
"79","Kyrgyzstan",8500,200,2018,6223503
"80","Latvia",5300,100,2018,1935632
"81","Lebanon",2500,100,2018,5950842
"82","Lesotho",340000,6100,2018,2198030
"83","Liberia",39000,1800,2018,4889396
"84","Libya",9200,200,2018,6477791
"85","Lithuania",NA,NA,2018,2876128
"86","Luxembourg",1200,100,2018,607920
"87","Madagascar",39000,1700,2018,26846544
"88","Malawi",1000000,13000,2018,18367886
"89","Malaysia",87000,2600,2018,32399270
"90","Maldives",NA,NA,2018,489773
"91","Mali",150000,6500,2018,19934304
"92","Malta",NA,NA,2018,491590
"93","Mauritania",5600,500,2018,4270717
"94","Mauritius",13000,610,2018,1295386
"95","Mexico",230000,NA,2018,124013864
"96","Mongolia",600,100,2018,3163994
"97","Montenegro",500,100,2018,631459
"98","Morocco",21000,500,2018,35927516
"99","Mozambique",2200000,54000,2018,29423882
"100","Myanmar",240000,7800,2018,52666016
"101","Namibia",200000,2700,2018,2405682
"102","Nepal",30000,910,2018,28506718
"103","Netherlands",NA,NA,2018,17286042
"104","New Zealand",3600,100,2018,4838528
"105","Nicaragua",9400,200,2018,6572234
"106","Niger",36000,1200,2018,22577060
"107","Nigeria",1900000,53000,2018,198387616
"108","Norway",5800,100,2018,5312321
"109","Oman",3200,100,2018,4601160
"110","Pakistan",160000,6400,2018,219731488
"111","Panama",26000,500,2018,4165258
"112","Papua New Guinea",45000,NA,2018,9329233
"113","Paraguay",21000,720,2018,6443337
"114","Peru",79000,1000,2018,32203946
"115","Philippines",77000,1200,2018,108568832
"116","Poland",NA,NA,2018,38521464
"117","Portugal",41000,500,2018,10289833
"118","Qatar",NA,NA,2018,2766743
"119","Romania",18000,200,2018,19606778
"120","Rwanda",220000,2900,2018,12531810
"121","Saudi Arabia",NA,NA,2018,35018132
"122","Senegal",42000,1300,2018,15574910
"123","Serbia",3000,100,2018,7433825
"124","Sierra Leone",70000,2100,2018,7861287
"125","Singapore",7900,100,2018,5814543
"126","Slovakia",1200,100,2018,5446746
"127","Slovenia",NA,100,2018,2105931
"128","Somalia",11000,710,2018,15411101
"129","South Africa",7700000,71000,2018,57339632
"130","South Sudan",190000,9900,2018,10395332
"131","Spain",150000,NA,2018,46792044
"132","Sri Lanka",3500,200,2018,21580712
"133","Sudan",59000,2900,2018,41999064
"134","Suriname",5600,100,2018,593729
"135","Sweden",NA,NA,2018,10162300
"136","Switzerland",NA,NA,2018,8514431
"137","Tajikistan",13000,500,2018,9128131
"138","Thailand",480000,18000,2018,71127808
"139","Togo",110000,3800,2018,8046680
