"","Year","Measure","Count"
"1",1990,"Current number of cases",4221515.61796597
"2",1990,"New number of cases",10638856.111421
"3",1990,"Deaths",1782208.50779695
"4",1991,"Current number of cases",5173429.63396506
"5",1991,"New number of cases",12228363.5031832
"6",1991,"Deaths",2278094.99448762
"7",1992,"Current number of cases",6185470.68777116
"8",1992,"New number of cases",13584563.9141728
"9",1992,"Deaths",2848263.07206849
"10",1993,"Current number of cases",7229668.05652143
"11",1993,"New number of cases",14798651.5800208
"12",1993,"Deaths",3498244.96993241
"13",1994,"Current number of cases",8290015.06065275
"14",1994,"New number of cases",15781120.2523828
"15",1994,"Deaths",4208641.28488853
"16",1995,"Current number of cases",9353126.67547908
"17",1995,"New number of cases",16682172.9990847
"18",1995,"Deaths",4928718.92085857
"19",1996,"Current number of cases",10416889.0022246
"20",1996,"New number of cases",17416556.92663
"21",1996,"Deaths",5545276.34264661
"22",1997,"Current number of cases",11445435.2027984
"23",1997,"New number of cases",17771617.2191427
"24",1997,"Deaths",6096695.96244545
"25",1998,"Current number of cases",12383159.0825622
"26",1998,"New number of cases",17610615.9637497
"27",1998,"Deaths",6774404.66008499
"28",1999,"Current number of cases",13192506.7964221
"29",1999,"New number of cases",17208077.917003
"30",1999,"Deaths",7509664.78030221
"31",2000,"Current number of cases",13862783.2080028
"32",2000,"New number of cases",16603523.1306961
"33",2000,"Deaths",8158935.3672431
"34",2001,"Current number of cases",14394300.1130248
"35",2001,"New number of cases",15895043.8714558
"36",2001,"Deaths",8724301.10410047
"37",2002,"Current number of cases",14792697.6872141
"38",2002,"New number of cases",15270720.9871899
"39",2002,"Deaths",9194590.96467079
"40",2003,"Current number of cases",15074091.6416447
"41",2003,"New number of cases",14727630.4927402
"42",2003,"Deaths",9550021.47489374
"43",2004,"Current number of cases",15261740.6509972
"44",2004,"New number of cases",14254331.2252702
"45",2004,"Deaths",9759372.02578784
"46",2005,"Current number of cases",15383186.3950281
"47",2005,"New number of cases",13875981.325911
"48",2005,"Deaths",9727506.17507926
"49",2006,"Current number of cases",15484022.6974504
"50",2006,"New number of cases",13605229.5127487
"51",2006,"Deaths",9411242.16740502
"52",2007,"Current number of cases",15602734.2102519
"53",2007,"New number of cases",13358883.9495265
"54",2007,"Deaths",8906542.28339843
"55",2008,"Current number of cases",15782923.0112689
"56",2008,"New number of cases",13135005.736693
"57",2008,"Deaths",8333896.53069588
"58",2009,"Current number of cases",16027038.9616336
"59",2009,"New number of cases",12963713.5461895
"60",2009,"Deaths",7766169.56906485
"61",2010,"Current number of cases",16336050.341002
"62",2010,"New number of cases",12825286.3739765
"63",2010,"Deaths",7285345.91932862
"64",2011,"Current number of cases",16693337.1908489
"65",2011,"New number of cases",12694067.5833392
"66",2011,"Deaths",6845188.64369055
"67",2012,"Current number of cases",17092924.6271856
"68",2012,"New number of cases",12568204.7117202
"69",2012,"Deaths",6382239.84524668
"70",2013,"Current number of cases",17525712.5801239
"71",2013,"New number of cases",12435994.6600233
"72",2013,"Deaths",5994313.79956123
"73",2014,"Current number of cases",17982424.9156832
"74",2014,"New number of cases",12354756.4637297
"75",2014,"Deaths",5711855.41942264
"76",2015,"Current number of cases",18453278.7097703
"77",2015,"New number of cases",12259921.4149934
"78",2015,"Deaths",5488581.55828153
"79",2016,"Current number of cases",18926108.669889
"80",2016,"New number of cases",12013736.1688636
"81",2016,"Deaths",5322070.62138074
"82",2017,"Current number of cases",19391500.3838761
"83",2017,"New number of cases",11665613.1717867
"84",2017,"Deaths",5064688.88404221
"85",2018,"Current number of cases",19849688.9391778
"86",2018,"New number of cases",11170100.4530237
"87",2018,"Deaths",4771269.34641232
"88",2019,"Current number of cases",20279176.8565941
"89",2019,"New number of cases",10868895.142801
"90",2019,"Deaths",4613726.43501819
